Ticker,Date,Open,High,Low,Close,Volume
MSFT,2020-01-02,150.09021733882216,151.9334939984884,149.66484802100678,151.8295135498047,22622100
MSFT,2020-01-03,149.65544061469248,151.19622386441185,149.4096607117201,149.9390106201172,21116200
MSFT,2020-01-06,148.4833216779959,150.392775081882,147.94450973571048,150.32659912109375,20813700
MSFT,2020-01-07,150.60069532153608,150.9315317648506,148.7101519070475,148.95591735839844,21634100
MSFT,2020-01-08,150.23203354534573,151.9997015405678,149.3056712613287,151.32855224609375,27746500
MSFT,2020-01-09,152.98275253418123,153.34196035835663,152.21708484471264,153.2190704345703,21385000
MSFT,2020-01-10,153.90915972860566,154.28726267501992,152.35890014667973,152.51014709472656,20725900
MSFT,2020-01-13,152.9071617022491,154.3723358820374,152.43452580062083,154.34397888183594,21626500
MSFT,2020-01-14,154.44794943449625,154.6464628468558,152.86934735532085,153.2569122314453,23477400
MSFT,2020-01-15,153.72007035240767,154.96783584765552,153.67281830910034,154.24942016601562,21417900
MSFT,2020-01-16,155.35540348008348,157.14196634501582,155.05290962474845,157.07579040527344,23865400
MSFT,2020-01-17,158.25738972858082,158.30465619935018,156.37629381209493,157.9549102783203,34371700
MSFT,2020-01-21,157.55789835006,158.98526801417273,157.32158039758605,157.38775634765625,29517200
MSFT,2020-01-22,158.23844365389584,158.32352905108053,156.61257551667737,156.63148498535156,24138800
MSFT,2020-01-23,157.09469505443082,157.6713113277231,156.22504688259176,157.59568786621094,19680800
MSFT,2020-01-24,158.3424825375192,158.36139201317255,155.44995298181732,156.00765991210938,24918100
MSFT,2020-01-27,152.33055036956728,154.43851694569852,151.4325450114777,153.39871215820312,32078100
MSFT,2020-01-28,154.81661422070258,156.6882483457103,154.14547932010373,156.40467834472656,24899900
MSFT,2020-01-29,158.65440861589227,159.51460937852576,156.62208010292088,158.8434600830078,34754500
MSFT,2020-01-30,164.52450394494198,164.52450394494198,161.44290968960823,163.32400512695312,51597500
MSFT,2020-01-31,162.78523773584587,162.96482723403622,160.29916867247016,160.91358947753906,36142700
MSFT,2020-02-03,161.10266690413363,164.94993007628167,161.07430990386203,164.8365020751953,30107000
MSFT,2020-02-04,167.44546857406942,170.75392031861364,166.66089114380435,170.2623748779297,36433300
MSFT,2020-02-05,173.95835927347207,174.1190537403817,168.64593664566272,170.05438232421875,39186300
MSFT,2020-02-06,171.06580476348907,173.7598346269479,170.20560413495167,173.58023071289062,27751400
MSFT,2020-02-07,172.8429581987189,175.47081270658518,172.4931978169128,173.82603454589844,33529100
MSFT,2020-02-10,173.53300042903595,178.50512495189932,173.22105900121804,178.37278747558594,35844300
MSFT,2020-02-11,180.21607754330697,180.26334402188803,173.45738939363605,174.345947265625,53159900
MSFT,2020-02-12,175.42353231595447,175.67875972595644,171.89767274276622,174.6011505126953,47062900
MSFT,2020-02-13,173.06037316286404,176.03797374039397,172.86185972663358,173.65589904785156,35295800
MSFT,2020-02-14,173.22100920730202,175.26279918952332,172.653840515452,175.20608520507812,23149500
